user_id,plan_type,mrr,signup_date,churn_date,is_churned,tenure_days
user_017336,starter,29.28,2024-04-22,,0,9
user_052896,starter,30.17,2023-05-19,,0,369
user_002848,free,0.0,2024-01-17,,0,203
user_047824,enterprise,518.65,2022-12-13,,0,94
user_030109,free,0.0,2024-04-09,,0,9
user_035143,starter,27.87,2022-09-21,,0,62
user_008181,starter,30.93,2023-12-20,,0,69
user_024808,pro,102.46,2022-02-06,,0,34
user_005165,starter,30.15,2022-09-21,,0,53
user_036179,pro,94.6,2023-09-07,,0,112
user_019214,free,0.0,2022-12-06,,0,42
user_054356,free,0.0,2024-05-17,,0,111
user_041199,starter,29.47,2023-03-25,,0,41
user_040536,pro,100.29,2023-01-12,,0,430
user_058029,free,0.0,2022-10-14,,0,537
user_056473,starter,29.0,2025-03-25,,0,49
user_023701,free,0.0,2022-02-12,,0,120
user_037838,free,0.0,2023-05-26,,0,43
user_012602,free,0.0,2023-10-19,,0,92
user_046175,starter,27.57,2022-02-10,,0,33
user_004559,free,0.0,2022-03-17,,0,23
user_003004,starter,28.72,2022-12-15,,0,8
user_043337,starter,28.26,2022-12-23,,0,629
user_014936,pro,100.82,2022-08-16,,0,50
user_050664,free,0.0,2022-08-04,,0,780
user_018966,free,0.0,2022-11-22,2023-10-02,1,314
user_005230,free,0.0,2022-08-16,,0,8
user_056055,pro,97.69,2022-08-20,,0,145
user_015257,free,0.0,2022-06-08,2022-11-07,1,152
user_056786,free,0.0,2022-10-16,,0,104
user_006620,free,0.0,2022-10-06,,0,202
user_024912,pro,103.69,2022-09-21,,0,86
user_018218,starter,28.92,2024-07-13,,0,50
user_029715,free,0.0,2022-03-09,,0,186
user_041661,free,0.0,2022-03-26,2022-04-19,1,24
user_054665,starter,29.25,2023-01-31,,0,6
user_023910,pro,99.18,2024-07-22,,0,77
user_010660,free,0.0,2022-04-19,,0,257
user_024261,enterprise,513.94,2022-07-24,,0,256
user_023284,starter,31.11,2023-02-02,,0,13
user_013731,starter,28.97,2022-09-30,,0,133
user_043921,enterprise,496.23,2022-07-24,,0,109
user_017497,free,0.0,2022-05-23,,0,62
user_045995,free,0.0,2024-05-03,2025-02-20,1,293
user_044797,pro,98.73,2022-11-28,,0,108
user_042470,starter,29.83,2023-05-24,,0,682
user_004680,starter,29.06,2022-01-23,2022-04-08,1,75
user_039921,starter,29.15,2023-07-14,,0,30
user_041614,free,0.0,2022-03-09,,0,95
user_011216,free,0.0,2022-02-13,,0,188
user_035006,starter,29.1,2022-06-16,,0,31
user_047785,free,0.0,2022-03-02,,0,202
user_016044,starter,28.65,2023-10-15,2024-01-23,1,100
user_010709,free,0.0,2024-01-22,,0,299
user_030295,starter,29.32,2023-07-22,,0,124
user_024868,pro,109.2,2022-12-19,,0,320
user_017692,free,0.0,2022-08-28,2023-04-01,1,216
user_041944,free,0.0,2023-02-17,,0,719
user_045100,starter,28.47,2023-05-28,2023-08-11,1,75
user_036501,free,0.0,2022-04-07,,0,83
user_014393,free,0.0,2023-01-27,,0,61
user_044867,starter,29.01,2022-03-10,,0,373
user_021253,starter,31.47,2022-06-06,,0,175
user_055238,pro,102.06,2023-04-26,,0,18
user_050353,starter,28.35,2024-06-01,,0,178
user_050856,free,0.0,2022-07-30,,0,64
user_003666,starter,29.28,2023-06-06,,0,123
user_015011,pro,100.93,2024-06-09,,0,254
user_053858,starter,28.58,2022-08-07,,0,63
user_002104,free,0.0,2022-07-31,,0,53
user_052760,starter,29.23,2022-06-01,,0,354
user_020674,starter,29.83,2022-12-17,,0,102
user_026291,free,0.0,2022-04-29,,0,456
user_017547,free,0.0,2022-12-28,,0,16
user_004338,pro,97.21,2023-08-06,,0,41
user_013827,free,0.0,2022-08-06,,0,215
user_059844,free,0.0,2025-01-17,,0,480
user_037171,free,0.0,2023-04-13,2023-08-17,1,126
user_057434,free,0.0,2022-04-24,,0,161
user_047050,pro,103.85,2022-03-16,,0,39
user_020623,free,0.0,2022-12-17,,0,469
user_013935,free,0.0,2023-05-15,,0,209
user_042955,free,0.0,2023-03-19,,0,47
user_032718,starter,30.56,2024-08-17,,0,590
user_025929,enterprise,523.15,2024-04-23,,0,3
user_057979,free,0.0,2022-10-14,,0,209
user_042130,starter,29.47,2023-01-05,,0,338
user_030072,free,0.0,2023-01-12,,0,161
user_009364,free,0.0,2022-05-17,,0,11
user_017360,pro,103.23,2023-12-25,,0,47
user_009151,free,0.0,2023-08-07,2023-10-25,1,79
user_016163,free,0.0,2022-07-06,,0,209
user_048824,pro,95.59,2024-05-19,,0,479
user_036790,free,0.0,2023-03-31,,0,219
user_035323,pro,104.06,2022-10-11,,0,46
user_017220,free,0.0,2022-07-09,,0,288
user_048957,starter,29.11,2023-08-01,,0,39
user_038312,starter,27.54,2023-11-19,,0,281
user_028078,free,0.0,2022-09-29,,0,382
user_058840,enterprise,488.28,2022-11-22,,0,37
user_038243,free,0.0,2023-02-07,,0,45
user_026176,starter,30.7,2022-04-24,,0,241
user_023724,free,0.0,2023-12-17,,0,574
user_014374,enterprise,472.0,2024-02-18,2024-04-08,1,50
user_009066,free,0.0,2022-07-14,,0,431
user_033393,pro,100.5,2022-12-08,,0,11
user_032344,free,0.0,2023-02-22,,0,205
user_005958,enterprise,500.17,2022-09-07,,0,146
user_049531,free,0.0,2023-12-18,,0,209
user_003088,free,0.0,2023-10-17,2024-04-10,1,176
user_056434,starter,28.88,2022-04-30,,0,172
user_007186,free,0.0,2023-07-04,2023-08-28,1,55
user_010017,enterprise,498.14,2022-01-23,2022-03-19,1,55
user_041121,enterprise,528.74,2023-10-29,,0,562
user_010485,starter,30.78,2025-01-11,,0,252
user_051910,free,0.0,2024-06-30,,0,626
user_044597,free,0.0,2022-11-07,,0,690
user_027667,free,0.0,2023-10-25,,0,113
user_039087,starter,27.95,2022-02-17,,0,131
user_004164,starter,29.5,2022-02-13,,0,461
user_025217,free,0.0,2022-06-08,,0,299
user_025010,starter,30.68,2023-07-26,,0,149
user_039053,pro,103.25,2022-06-08,,0,90
user_030675,enterprise,517.67,2022-05-21,,0,151
user_034677,free,0.0,2022-05-01,,0,153
user_016477,pro,95.23,2022-04-22,,0,313
user_036257,free,0.0,2022-07-14,,0,371
user_056413,starter,28.75,2022-02-20,,0,29
user_000753,free,0.0,2022-10-25,,0,0
user_044584,free,0.0,2022-03-14,,0,43
user_047234,free,0.0,2022-12-28,,0,287
user_007508,free,0.0,2023-02-05,,0,209
user_044677,free,0.0,2022-03-24,2022-05-27,1,64
user_057986,starter,30.77,2024-08-08,,0,106
user_035191,starter,30.84,2022-08-26,,0,189
user_049210,starter,26.9,2022-04-02,,0,161
user_017487,starter,29.0,2024-05-28,,0,452
user_050371,starter,28.95,2022-01-08,,0,86
user_042007,free,0.0,2022-07-05,,0,523
user_022294,free,0.0,2022-01-16,,0,268
user_007311,free,0.0,2022-10-30,,0,107
user_019235,free,0.0,2023-03-06,,0,468
user_028493,free,0.0,2022-01-06,,0,192
user_010366,free,0.0,2023-02-26,,0,243
user_029736,free,0.0,2024-01-07,,0,24
user_000213,starter,30.16,2022-03-23,,0,44
user_047324,free,0.0,2023-10-19,,0,32
user_057400,pro,94.35,2022-03-10,,0,4
user_047165,starter,29.71,2022-05-26,,0,101
user_017262,pro,97.47,2022-03-16,,0,1164
user_032807,starter,31.81,2022-09-01,,0,275
user_049936,pro,106.84,2023-02-23,,0,12
user_011709,free,0.0,2023-05-20,,0,74
user_033272,free,0.0,2024-04-15,,0,356
user_006974,free,0.0,2023-05-04,,0,10
user_057051,free,0.0,2022-01-21,,0,174
user_040980,free,0.0,2022-07-11,,0,174
user_019559,free,0.0,2024-03-10,,0,630
user_055160,starter,29.81,2022-03-12,,0,89
user_041875,free,0.0,2022-09-26,2023-10-26,1,395
user_033271,free,0.0,2022-08-16,,0,240
user_039910,pro,100.92,2024-05-17,,0,171
user_013036,pro,97.95,2022-09-07,,0,240
user_059830,free,0.0,2022-12-17,,0,47
user_024505,free,0.0,2022-04-11,,0,51
user_049972,free,0.0,2022-02-27,,0,687
user_010588,pro,91.47,2022-07-26,,0,62
user_035349,pro,107.84,2022-07-20,,0,241
user_051029,free,0.0,2024-04-20,,0,25
user_034758,pro,83.48,2022-12-21,,0,271
user_000038,starter,28.71,2022-01-19,,0,266
user_039253,starter,28.3,2023-09-21,,0,135
user_021244,free,0.0,2022-10-07,,0,765
user_032022,starter,26.84,2022-08-14,,0,22
user_001277,pro,91.78,2023-08-20,,0,375
user_007332,free,0.0,2022-10-04,,0,371
user_023789,free,0.0,2023-10-23,,0,191
user_057588,free,0.0,2022-10-18,,0,154
user_054505,pro,97.29,2022-06-02,,0,159
user_052873,starter,30.99,2024-05-22,,0,26
user_020154,starter,29.91,2022-03-16,,0,115
user_015693,starter,29.95,2022-06-24,,0,544
user_003797,free,0.0,2022-01-17,,0,203
user_015786,free,0.0,2022-12-16,2022-12-29,1,13
user_057542,starter,30.52,2024-07-12,,0,7
user_037183,free,0.0,2022-05-15,,0,7
user_005162,free,0.0,2022-05-29,,0,160
user_005614,pro,105.55,2023-07-06,,0,519
user_047967,free,0.0,2023-05-02,,0,401
user_031850,free,0.0,2024-05-10,,0,56
user_053479,free,0.0,2023-02-17,2023-10-19,1,244
user_004536,free,0.0,2022-05-07,,0,157
user_049847,free,0.0,2022-06-06,,0,249
user_034912,pro,99.76,2023-03-31,,0,455
user_050190,starter,29.78,2022-09-30,,0,951
user_008242,starter,30.63,2022-04-10,,0,66
user_008415,free,0.0,2022-09-01,2022-12-13,1,103
user_043238,free,0.0,2022-03-20,,0,140
user_031149,free,0.0,2023-03-04,,0,126
user_036032,starter,28.89,2024-09-22,,0,2
user_010822,free,0.0,2022-08-26,,0,76
user_017371,starter,28.62,2022-02-06,,0,29
user_034582,free,0.0,2024-01-19,,0,21
user_057176,starter,30.28,2023-03-18,,0,232
user_039754,starter,27.97,2024-06-04,,0,101
user_027731,starter,29.1,2022-06-12,,0,429
user_013881,free,0.0,2022-08-18,,0,61
user_035344,starter,28.25,2023-04-26,,0,153
user_049498,starter,29.18,2023-07-11,,0,419
user_047837,free,0.0,2023-01-23,,0,2
user_045212,pro,103.79,2023-05-10,,0,256
user_013183,free,0.0,2022-02-19,,0,457
user_046724,enterprise,549.57,2023-06-05,,0,83
user_020429,pro,99.15,2022-01-17,,0,495
user_026149,free,0.0,2022-03-14,,0,601
user_044020,starter,27.64,2022-11-14,,0,19
user_059972,free,0.0,2022-11-05,2024-08-25,1,659
user_024473,starter,30.45,2022-09-27,,0,103
user_028712,pro,102.02,2022-10-22,,0,16
user_058958,starter,28.93,2022-12-03,,0,238
user_033920,free,0.0,2024-04-19,,0,154
user_029589,pro,96.23,2022-09-12,,0,30
user_007931,pro,98.7,2022-01-28,,0,116
user_016247,starter,26.63,2022-09-03,,0,152
user_014726,free,0.0,2022-11-02,,0,90
user_004197,pro,100.33,2024-07-12,,0,546
user_022157,free,0.0,2022-05-25,,0,196
user_001379,free,0.0,2022-03-15,,0,49
user_038556,free,0.0,2024-05-18,,0,97
user_036302,free,0.0,2022-04-16,,0,77
user_015081,free,0.0,2023-03-13,,0,203
user_038565,free,0.0,2023-07-12,,0,39
user_014433,starter,28.54,2022-02-02,,0,9
user_000472,enterprise,482.95,2022-06-15,,0,293
user_004653,free,0.0,2022-09-30,,0,296
user_046390,starter,29.63,2023-08-22,,0,117
user_041360,starter,30.78,2023-04-30,2023-05-11,1,11
user_003859,free,0.0,2022-02-19,,0,201
user_015004,starter,27.86,2023-02-26,,0,122
user_004418,free,0.0,2022-03-13,,0,126
user_059338,free,0.0,2023-03-06,,0,361
user_002059,enterprise,505.09,2024-11-17,,0,240
user_056338,starter,29.54,2023-02-26,,0,298
user_021655,free,0.0,2022-09-13,,0,346
user_004644,starter,29.72,2022-07-02,,0,137
user_033696,free,0.0,2022-06-11,,0,157
user_015598,free,0.0,2022-05-01,,0,26
user_018251,free,0.0,2023-11-17,,0,309
user_043843,free,0.0,2022-05-10,,0,119
user_031813,enterprise,494.75,2022-02-28,,0,181
user_014041,starter,30.65,2022-01-03,,0,291
user_035340,starter,27.56,2022-08-31,2023-04-25,1,237
user_008672,free,0.0,2022-01-04,,0,164
user_047406,free,0.0,2022-03-17,2022-05-30,1,74
user_057828,pro,94.86,2024-04-30,,0,74
user_037424,pro,102.17,2022-04-20,,0,21
user_037763,enterprise,453.21,2022-04-24,,0,1088
user_030977,pro,103.89,2022-10-16,,0,60
user_015926,free,0.0,2023-01-19,,0,16
user_051421,free,0.0,2022-05-27,,0,402
user_030997,free,0.0,2022-11-27,,0,590
user_052921,starter,30.16,2023-03-18,,0,100
user_026678,starter,27.5,2022-02-25,,0,67
user_012479,free,0.0,2024-01-17,,0,518
user_006182,starter,29.25,2022-02-13,,0,83
user_006353,starter,27.41,2022-06-24,,0,1417
user_043188,starter,27.92,2022-01-20,,0,242
user_028250,free,0.0,2022-10-24,,0,94
user_023220,free,0.0,2024-02-08,,0,720
user_027760,free,0.0,2022-02-10,,0,219
user_026942,free,0.0,2022-04-23,,0,245
user_030607,free,0.0,2025-01-25,,0,157
user_056613,free,0.0,2022-05-07,,0,706
user_047781,starter,29.87,2022-09-02,,0,504
user_003551,starter,29.19,2022-06-08,,0,7
user_044130,pro,99.6,2023-12-23,,0,48
user_042825,starter,30.14,2023-01-16,,0,220
user_042349,free,0.0,2022-12-01,,0,217
user_006450,free,0.0,2022-03-15,,0,414
user_003973,free,0.0,2023-03-09,2024-06-03,1,452
user_026387,enterprise,509.93,2022-12-25,2022-12-31,1,6
user_047725,starter,30.09,2022-02-14,,0,554
user_022237,free,0.0,2022-02-17,,0,394
user_052468,starter,28.2,2023-06-21,,0,195
user_056471,pro,93.73,2024-03-01,,0,51
user_007162,starter,26.15,2022-08-23,,0,285
user_016296,free,0.0,2023-02-22,,0,155
user_012557,free,0.0,2022-04-10,,0,430
user_012466,free,0.0,2022-01-09,,0,800
user_035147,starter,26.8,2023-01-31,,0,246
user_029401,pro,98.83,2022-11-21,,0,213
user_009187,free,0.0,2025-03-24,,0,45
user_027649,free,0.0,2023-04-29,,0,197
user_012026,free,0.0,2022-11-25,,0,537
user_018255,free,0.0,2023-08-01,,0,127
user_030319,free,0.0,2022-02-09,,0,156
user_016372,free,0.0,2022-01-28,,0,107
user_057311,starter,29.73,2022-05-26,,0,141
user_004941,free,0.0,2022-03-08,,0,180
user_029042,free,0.0,2023-04-29,,0,261
user_052955,free,0.0,2022-01-06,,0,236
user_056450,free,0.0,2022-11-15,,0,113
user_056097,pro,96.54,2022-01-05,,0,583
user_036067,pro,98.41,2022-06-30,,0,0
user_006417,free,0.0,2022-01-11,,0,33
user_003316,free,0.0,2022-11-27,,0,45
user_042739,free,0.0,2023-09-06,2025-05-02,1,604
user_035428,free,0.0,2023-01-24,,0,249
user_054790,starter,30.26,2022-02-08,,0,235
user_000968,starter,28.38,2023-08-30,,0,213
user_006113,free,0.0,2022-08-30,,0,415
user_049386,pro,102.97,2022-01-17,,0,66
user_055621,free,0.0,2024-01-12,,0,142
user_015492,starter,29.13,2023-04-21,,0,373
user_010900,free,0.0,2022-04-20,,0,324
user_026635,free,0.0,2022-01-27,,0,199
user_031827,free,0.0,2022-01-28,,0,444
user_031547,free,0.0,2022-01-28,2022-04-30,1,92
user_014009,free,0.0,2022-01-23,,0,177
user_056666,free,0.0,2022-05-07,,0,266
user_026283,free,0.0,2022-01-28,,0,36
user_059143,free,0.0,2023-10-19,,0,477
user_003843,free,0.0,2022-09-23,,0,146
user_010790,starter,28.28,2022-06-19,,0,139
user_024837,starter,30.38,2022-03-11,,0,55
user_000142,pro,93.5,2023-02-26,2023-08-06,1,161
user_025587,starter,31.08,2022-02-23,,0,370
user_017381,free,0.0,2024-02-06,,0,103
user_051385,free,0.0,2023-03-17,,0,295
user_051455,starter,28.33,2025-01-29,,0,50
user_029820,starter,28.55,2022-06-26,,0,18
user_018695,free,0.0,2024-04-10,,0,144
user_027723,starter,28.93,2022-08-11,,0,408
user_045652,free,0.0,2023-12-04,,0,264
user_047875,starter,28.99,2022-04-14,,0,755
user_051339,free,0.0,2022-02-16,,0,228
user_036423,pro,104.44,2024-10-14,,0,186
user_043377,starter,28.73,2023-12-25,,0,185
user_047082,starter,30.04,2022-02-15,,0,618
user_031895,starter,29.38,2024-03-26,,0,167
user_010145,free,0.0,2023-06-16,,0,86
user_012446,free,0.0,2022-04-18,,0,72
user_019446,starter,26.9,2023-07-04,,0,3
user_014268,starter,29.42,2022-02-02,,0,155
user_003833,free,0.0,2023-02-14,,0,88
user_037958,free,0.0,2022-01-02,,0,8
user_048218,free,0.0,2022-08-07,,0,81
user_035534,starter,29.29,2022-04-27,,0,78
user_003995,free,0.0,2022-05-18,,0,151
user_049020,enterprise,513.18,2022-06-21,,0,300
user_020553,free,0.0,2023-04-22,,0,93
user_003747,starter,29.26,2022-07-29,,0,318
user_003287,free,0.0,2024-04-20,,0,249
user_038285,starter,29.39,2022-09-23,,0,11
user_031247,pro,95.98,2023-05-20,2023-09-06,1,109
user_032955,pro,98.09,2023-08-30,,0,306
user_055884,free,0.0,2022-01-13,,0,6
user_034808,starter,27.84,2023-09-27,,0,118
user_010318,free,0.0,2022-04-14,,0,514
user_003728,free,0.0,2022-03-26,,0,232
user_033282,starter,28.4,2022-03-05,,0,13
user_005251,free,0.0,2023-12-18,,0,11
user_055794,free,0.0,2022-05-25,,0,161
user_012179,pro,102.76,2022-02-14,,0,48
user_004491,starter,29.24,2023-09-09,,0,232
user_038997,free,0.0,2024-05-06,,0,64
user_004454,free,0.0,2022-02-13,,0,102
user_044251,free,0.0,2023-01-30,,0,310
user_056481,free,0.0,2022-05-05,,0,221
user_015415,starter,30.33,2022-02-20,,0,331
user_026462,pro,103.37,2022-07-18,,0,75
user_007857,starter,29.85,2023-09-14,,0,167
user_058346,starter,29.73,2022-02-27,,0,56
user_037335,free,0.0,2022-08-03,,0,243
user_016136,free,0.0,2022-02-26,,0,28
user_037941,starter,28.47,2022-12-13,,0,59
user_038963,enterprise,468.71,2022-01-22,,0,445
user_002605,free,0.0,2023-08-15,,0,132
user_040592,free,0.0,2023-04-22,2023-10-20,1,181
user_005373,starter,28.15,2022-03-06,,0,365
user_027475,pro,91.92,2022-02-14,,0,115
user_043082,free,0.0,2023-04-29,,0,99
user_038252,starter,29.96,2022-06-15,,0,166
user_037043,starter,25.79,2022-07-13,,0,327
user_034262,free,0.0,2024-07-22,2024-09-10,1,50
user_020734,free,0.0,2022-07-19,,0,46
user_017090,pro,93.43,2022-12-02,,0,137
user_013387,pro,98.74,2023-11-16,,0,123
user_043892,pro,106.53,2024-06-15,,0,442
user_046937,free,0.0,2022-04-17,,0,355
user_020591,pro,98.32,2022-09-07,,0,444
user_015643,free,0.0,2022-03-07,,0,482
user_017408,free,0.0,2024-05-30,,0,263
user_025939,pro,101.64,2022-02-21,,0,690
user_008578,free,0.0,2022-01-10,,0,151
user_059727,starter,30.83,2023-07-15,,0,369
user_042304,free,0.0,2022-07-15,,0,190
user_019661,free,0.0,2022-11-12,,0,230
user_029965,starter,28.42,2022-04-04,2022-07-13,1,100
user_020721,free,0.0,2023-01-25,,0,78
user_049275,pro,98.76,2022-11-07,,0,46
user_004755,free,0.0,2023-05-25,,0,159
user_000611,free,0.0,2022-05-08,2022-05-18,1,10
user_030035,free,0.0,2022-11-05,,0,283
user_040709,starter,26.62,2023-04-19,,0,124
user_036897,starter,28.24,2023-01-27,,0,340
user_006553,starter,28.09,2022-01-19,,0,561
user_004802,free,0.0,2025-03-26,,0,215
user_035235,starter,28.63,2022-11-02,,0,201
user_013970,starter,28.36,2022-01-20,,0,14
user_033154,free,0.0,2022-03-10,,0,56
user_059615,starter,31.51,2022-11-28,,0,1
user_008681,enterprise,477.23,2022-10-31,,0,120
user_022873,free,0.0,2025-01-05,,0,382
user_057729,free,0.0,2022-02-10,,0,621
user_004509,free,0.0,2022-03-02,,0,16
user_057624,starter,29.19,2022-04-11,,0,17
user_016010,free,0.0,2023-06-29,,0,189
user_024218,pro,94.04,2023-02-06,,0,228
user_018677,starter,26.76,2023-01-05,,0,27
user_010339,starter,29.56,2022-06-19,,0,235
user_028717,free,0.0,2022-03-27,,0,263
user_054641,free,0.0,2023-08-16,,0,406
user_035601,free,0.0,2022-06-20,,0,147
user_046108,pro,86.06,2023-01-03,,0,284
user_019826,starter,29.34,2023-06-17,,0,232
user_040087,pro,108.96,2023-05-27,,0,411
user_052895,starter,30.83,2022-05-19,,0,883
user_042859,pro,98.9,2022-06-05,,0,88
user_034665,starter,28.59,2022-06-18,,0,384
user_000513,starter,27.25,2022-06-11,,0,400
user_043770,free,0.0,2023-08-12,,0,76
user_053550,free,0.0,2022-01-19,,0,138
user_036347,starter,29.1,2023-01-28,2023-11-19,1,295
user_019621,enterprise,552.32,2023-07-09,,0,27
user_043476,free,0.0,2022-06-14,2022-08-09,1,56
user_006789,starter,27.91,2024-03-11,,0,188
user_057549,free,0.0,2024-09-05,,0,25
user_008801,free,0.0,2024-02-17,,0,127
user_017333,free,0.0,2022-01-05,2022-04-09,1,94
user_007565,starter,28.52,2022-10-19,,0,0
user_058309,free,0.0,2022-01-27,,0,57
user_007015,free,0.0,2022-12-20,2023-06-14,1,176
user_048656,starter,28.7,2022-06-13,,0,182
user_059816,starter,27.41,2022-03-22,,0,292
user_010188,starter,28.02,2024-09-15,,0,39
user_017849,starter,27.96,2022-03-14,,0,128
user_018466,pro,103.49,2023-01-16,,0,90
user_039639,starter,28.38,2023-04-17,,0,18
user_013804,free,0.0,2023-06-14,,0,40
user_047030,pro,92.75,2022-06-13,,0,364
user_022472,starter,27.62,2022-06-26,,0,250
user_013343,free,0.0,2023-07-25,,0,204
user_045056,starter,28.16,2022-11-03,,0,405
user_041566,free,0.0,2023-05-21,,0,905
user_055897,free,0.0,2022-04-15,,0,81
user_017301,free,0.0,2022-05-20,,0,74
user_033123,free,0.0,2023-08-04,,0,100
user_032017,free,0.0,2024-05-07,,0,278
user_016458,starter,29.7,2023-03-09,,0,104
user_059333,free,0.0,2023-07-17,,0,165
user_055451,enterprise,465.19,2022-09-04,,0,111
user_003330,pro,96.71,2022-05-29,,0,72
user_006049,free,0.0,2022-01-20,,0,168
user_041569,pro,99.85,2022-01-18,,0,141
user_059673,free,0.0,2022-03-07,,0,8
user_054353,free,0.0,2023-06-16,,0,39
user_018133,free,0.0,2023-03-13,,0,42
user_002890,free,0.0,2022-11-15,,0,122
user_000233,free,0.0,2023-02-13,,0,444
user_021860,pro,99.21,2022-12-01,,0,85
user_050537,starter,27.33,2022-10-25,,0,820
user_008574,free,0.0,2023-10-05,,0,128
user_041754,starter,28.26,2023-07-04,,0,295
user_017168,pro,95.42,2022-07-23,,0,154
user_010590,free,0.0,2022-03-18,,0,278
user_048578,free,0.0,2022-04-02,,0,81
user_028957,starter,29.22,2022-01-08,,0,21
user_036155,starter,27.6,2023-05-16,,0,448
user_046247,starter,29.09,2023-07-17,,0,22
user_028029,free,0.0,2022-05-28,,0,89
user_036760,starter,29.74,2024-01-18,,0,390
user_000634,free,0.0,2022-02-14,,0,171
user_059767,enterprise,486.39,2023-03-28,,0,872
user_004932,starter,29.27,2022-04-01,,0,119
user_057876,starter,28.43,2024-09-03,,0,726
user_045287,free,0.0,2022-04-01,,0,164
user_059240,starter,28.27,2023-10-28,,0,450
user_009769,free,0.0,2022-11-29,,0,294
user_035756,starter,29.97,2022-05-24,,0,260
user_002362,free,0.0,2022-12-10,,0,241
user_054697,enterprise,497.68,2022-11-26,,0,418
user_024197,starter,28.53,2023-09-27,,0,408
user_038176,pro,101.12,2022-08-20,,0,38
user_036211,free,0.0,2022-09-25,,0,644
user_009706,starter,26.83,2022-01-26,,0,308
user_028167,free,0.0,2022-03-10,,0,96
user_008353,starter,31.96,2022-02-23,,0,161
user_002742,free,0.0,2022-06-19,,0,19
user_020203,pro,103.82,2024-09-24,,0,591
user_023898,free,0.0,2023-03-07,,0,94
user_058916,starter,28.91,2023-07-26,,0,69
user_052175,free,0.0,2022-12-27,,0,334
user_056408,free,0.0,2022-02-25,,0,263
user_002615,free,0.0,2023-06-08,,0,35
user_058912,free,0.0,2023-06-24,,0,29
user_023450,free,0.0,2022-01-25,,0,81
user_013768,starter,27.61,2022-01-30,,0,221
user_044700,pro,101.84,2022-05-29,,0,82
user_016354,free,0.0,2022-07-27,,0,185
user_043709,starter,29.24,2023-11-12,,0,29
user_006737,pro,93.28,2022-12-18,,0,43
user_023179,free,0.0,2023-02-20,,0,79
user_051126,free,0.0,2022-01-09,,0,195
user_036693,free,0.0,2023-03-10,,0,194
user_057943,starter,28.88,2022-10-03,,0,148
user_057326,free,0.0,2023-05-21,,0,14
user_026633,starter,28.75,2023-12-09,,0,124
user_040676,free,0.0,2022-12-11,,0,764
user_049118,free,0.0,2022-03-04,,0,179
user_010129,free,0.0,2022-04-13,,0,20
