user_id,feature_name,usage_count,avg_session_seconds,date
user_005589,search,2,219,2024-11-11
user_029576,reports,3,188,2024-07-07
user_003539,export,5,88,2024-03-17
user_005436,export,7,118,2023-11-21
user_051252,dashboard,9,261,2023-06-16
user_029890,reports,3,107,2024-07-25
user_007375,export,12,129,2024-11-24
user_016507,analytics,2,230,2024-07-31
user_054172,export,15,101,2024-06-15
user_014444,search,14,162,2024-09-10
user_014603,reports,4,152,2024-03-25
user_046015,analytics,9,210,2024-01-23
user_022464,analytics,16,186,2023-03-19
user_053931,automation,13,132,2024-05-28
user_018822,search,12,28,2023-03-13
user_051118,dashboard,9,46,2024-06-14
user_048005,export,79,66,2024-10-07
user_046655,export,1,185,2023-10-26
user_026969,search,16,197,2023-01-10
user_025188,collaboration,2,61,2024-09-07
user_003492,dashboard,3,35,2023-09-05
user_016448,dashboard,17,169,2024-05-16
user_042492,dashboard,8,76,2024-09-18
user_005658,reports,6,130,2024-03-06
user_056267,reports,14,163,2024-04-08
user_057737,analytics,23,202,2023-11-23
user_017440,collaboration,9,108,2023-12-20
user_059792,collaboration,14,136,2023-03-16
user_013452,api_call,8,174,2024-05-09
user_050342,search,52,229,2024-06-20
user_004343,analytics,12,143,2023-01-13
user_034701,automation,33,99,2024-02-07
user_035573,automation,13,138,2024-05-11
user_008506,export,5,219,2024-09-21
user_016876,export,109,265,2024-10-09
user_048179,analytics,18,205,2024-11-17
user_049410,reports,14,188,2024-09-16
user_043107,export,4,140,2024-04-26
user_000800,analytics,10,112,2024-06-28
user_015354,collaboration,6,128,2024-11-02
user_020561,reports,10,86,2024-03-25
user_049122,search,21,175,2024-03-03
user_033574,collaboration,7,138,2024-06-23
user_008560,api_call,4,147,2024-11-22
user_002750,dashboard,7,69,2024-07-11
user_047934,export,7,157,2024-02-19
user_001727,reports,9,80,2023-10-08
user_039065,export,5,89,2024-11-14
user_015884,analytics,20,125,2024-07-07
user_012227,dashboard,3,138,2024-10-12
user_038770,collaboration,26,71,2023-08-25
user_012696,reports,7,114,2024-07-31
user_054164,analytics,7,167,2024-11-23
user_044153,api_call,8,145,2023-11-02
user_019745,reports,5,208,2024-05-09
user_013094,search,4,93,2024-04-28
user_014930,collaboration,8,174,2023-07-05
user_016018,reports,9,235,2023-07-10
user_022491,export,8,74,2024-03-23
user_000968,dashboard,9,166,2024-08-22
user_024407,reports,2,203,2023-07-12
user_023883,export,7,156,2024-03-09
user_027689,dashboard,13,157,2024-08-22
user_015928,dashboard,7,120,2024-05-25
user_056227,dashboard,12,205,2024-07-22
user_022513,reports,8,194,2023-05-23
user_027419,search,9,30,2024-02-26
user_016548,search,8,239,2024-11-16
user_046228,search,5,144,2024-06-10
user_010324,reports,36,161,2023-04-07
user_012756,dashboard,10,109,2023-12-26
user_050684,analytics,23,154,2024-10-04
user_020471,automation,3,158,2023-07-06
user_037689,collaboration,3,105,2024-06-24
user_027023,collaboration,7,148,2024-05-27
user_004251,search,11,120,2024-09-19
user_035294,search,16,141,2024-03-10
user_047526,automation,4,51,2024-02-08
user_055984,analytics,4,179,2023-07-07
user_046644,automation,8,144,2024-05-16
user_014131,export,23,244,2024-06-15
user_040419,collaboration,7,168,2023-10-22
user_012204,collaboration,1,77,2024-10-04
user_002275,export,14,106,2024-08-26
user_003918,search,8,104,2024-09-05
user_043342,dashboard,8,218,2023-03-17
user_055223,dashboard,10,164,2023-01-04
user_002782,dashboard,12,227,2023-09-05
user_024039,collaboration,50,222,2023-11-16
user_042703,export,10,131,2024-06-18
user_012027,api_call,7,118,2024-10-08
user_045218,dashboard,7,184,2024-10-23
user_018208,dashboard,5,124,2024-11-23
user_006137,automation,9,193,2024-03-29
user_003620,dashboard,10,173,2023-04-07
user_002988,dashboard,35,191,2023-08-07
user_011444,dashboard,14,290,2023-02-03
user_039291,export,5,190,2024-08-14
user_009253,api_call,10,75,2024-09-30
user_000746,export,5,111,2023-03-26
user_031257,search,2,62,2024-08-03
user_019411,dashboard,11,176,2023-02-06
user_058881,export,66,188,2024-09-25
user_057605,reports,6,92,2024-09-18
user_004215,dashboard,2,54,2023-10-27
user_043053,dashboard,31,135,2024-02-28
user_008983,dashboard,9,106,2023-11-10
user_043395,api_call,11,216,2024-04-12
user_037425,dashboard,7,224,2024-10-31
user_058684,analytics,8,163,2024-10-23
user_007939,reports,13,160,2023-08-11
user_047505,automation,2,156,2024-04-16
user_057685,search,2,118,2024-10-26
user_033681,collaboration,8,150,2024-10-28
user_059843,reports,13,82,2023-05-02
user_037231,analytics,5,163,2023-06-21
user_016798,export,7,203,2023-11-23
user_058419,reports,4,244,2024-04-17
user_051088,reports,7,141,2024-11-18
user_009249,reports,6,89,2023-11-20
user_038245,automation,4,134,2024-04-30
user_011107,automation,19,310,2024-03-12
user_036431,export,1,214,2024-06-09
user_057336,collaboration,14,183,2024-01-25
user_018667,collaboration,3,102,2024-11-11
user_010737,api_call,4,71,2024-05-27
user_003899,search,3,150,2024-02-29
user_024061,reports,1,173,2024-07-28
user_005678,export,22,281,2024-07-19
user_052624,search,9,116,2023-04-01
user_011976,analytics,4,174,2024-09-05
user_018807,collaboration,40,198,2024-11-09
user_055104,dashboard,18,230,2023-05-29
user_029139,reports,4,226,2024-02-10
user_015120,collaboration,8,133,2024-08-11
user_055964,dashboard,4,75,2023-08-26
user_013146,automation,20,159,2024-10-16
user_014332,analytics,12,43,2024-02-12
user_029327,export,17,189,2024-09-17
user_055142,api_call,18,80,2024-07-22
user_010292,dashboard,5,129,2024-04-25
user_036604,analytics,3,33,2024-08-17
user_031709,analytics,10,85,2024-01-26
user_049195,reports,21,33,2023-04-20
user_053074,search,5,90,2023-01-04
user_051678,search,2,103,2023-02-18
user_026969,dashboard,16,177,2024-04-23
user_027457,reports,6,43,2024-08-11
user_029506,collaboration,32,130,2023-12-27
user_008856,automation,14,246,2024-10-21
user_029703,analytics,13,124,2023-01-31
user_012703,collaboration,8,169,2024-07-13
user_028864,collaboration,21,196,2024-10-05
user_021343,search,3,191,2023-04-15
user_031936,export,14,172,2024-09-16
user_025396,search,3,141,2024-06-03
user_029718,export,9,153,2024-09-30
user_053889,dashboard,5,186,2024-09-23
user_037838,automation,11,213,2024-11-03
user_055078,export,3,127,2024-09-05
user_020802,dashboard,7,132,2023-10-15
user_028863,collaboration,2,129,2024-11-17
user_053054,collaboration,4,40,2023-05-12
user_037340,export,22,171,2024-05-22
user_004749,search,8,138,2024-04-26
user_047890,reports,3,47,2024-05-07
user_049707,analytics,13,229,2023-10-14
user_014324,dashboard,12,78,2023-07-17
user_029165,api_call,7,206,2024-01-20
user_017506,dashboard,2,10,2024-07-09
user_042262,analytics,11,188,2024-06-01
user_057475,search,5,47,2023-04-23
user_021572,dashboard,7,273,2024-01-09
user_032187,analytics,8,163,2023-11-10
user_031541,dashboard,4,122,2024-08-08
user_012979,analytics,20,177,2024-04-16
user_050937,reports,7,177,2024-10-25
user_008988,dashboard,10,156,2024-10-12
user_008936,export,9,178,2023-09-15
user_022203,dashboard,11,23,2023-03-03
user_023333,collaboration,6,155,2023-01-14
user_007200,dashboard,1,69,2023-10-12
user_058268,analytics,11,138,2023-07-09
user_013816,reports,6,250,2024-03-07
user_054167,search,12,166,2024-09-06
user_037107,collaboration,6,88,2024-03-23
user_040545,export,13,121,2024-09-19
user_057729,analytics,11,68,2023-12-13
user_015154,search,6,109,2023-09-28
user_029741,api_call,8,145,2023-11-06
user_036818,reports,2,195,2024-09-10
user_036083,dashboard,4,89,2023-06-30
user_029981,dashboard,26,211,2024-03-13
user_039855,analytics,10,195,2024-08-01
user_038212,collaboration,6,276,2024-02-18
user_015975,export,27,175,2024-09-04
user_057120,dashboard,3,106,2024-04-26
user_028491,search,23,106,2024-09-21
user_012469,analytics,16,174,2024-05-17
user_005607,reports,5,97,2024-03-04
user_058230,export,14,115,2023-09-20
user_049385,dashboard,2,132,2023-12-16
user_056857,reports,40,218,2024-10-02
user_002402,export,12,141,2024-02-21
user_004343,analytics,7,66,2023-05-18
user_021881,reports,8,131,2024-05-26
user_040882,search,26,191,2024-04-21
user_020685,collaboration,15,117,2023-11-27
user_055328,dashboard,5,107,2024-07-08
user_010537,analytics,9,131,2024-02-04
user_034226,automation,11,183,2023-12-23
user_022800,export,15,247,2024-05-29
user_018428,dashboard,6,58,2024-03-02
user_003582,dashboard,7,172,2024-11-09
user_051408,dashboard,3,128,2024-11-23
user_040234,dashboard,8,176,2024-04-20
user_054469,dashboard,22,237,2024-06-04
user_026765,search,7,86,2024-08-29
user_037816,reports,13,167,2023-07-03
user_007884,export,5,76,2023-06-11
user_031680,search,3,72,2023-07-16
user_011418,collaboration,6,197,2024-05-30
user_037968,dashboard,20,192,2023-05-10
user_016107,dashboard,14,207,2024-06-25
user_055697,search,9,198,2024-09-12
user_048315,analytics,7,212,2024-06-18
user_054445,analytics,7,160,2024-10-23
user_015701,search,10,103,2023-03-26
user_047104,reports,7,185,2023-04-01
user_045010,automation,5,149,2024-09-24
user_016765,search,13,95,2023-08-23
user_056886,analytics,8,136,2023-12-30
user_046157,automation,9,106,2024-07-12
user_026881,search,4,110,2023-04-07
user_030122,dashboard,18,133,2024-07-17
user_005608,search,4,134,2024-11-02
user_052251,reports,5,133,2024-11-04
user_058261,search,2,218,2024-02-01
user_054521,reports,10,125,2023-02-05
user_009942,automation,2,80,2023-06-14
user_055004,reports,3,116,2023-08-31
user_032040,collaboration,4,134,2023-11-07
user_032545,analytics,2,34,2023-01-06
user_049418,reports,16,133,2023-06-27
user_005881,dashboard,19,208,2024-05-13
user_023693,reports,8,127,2024-09-28
user_001416,collaboration,3,187,2023-03-06
user_034961,dashboard,4,38,2023-11-30
user_033926,collaboration,15,121,2024-11-16
user_011073,export,11,120,2024-09-07
user_015630,search,3,161,2023-11-22
user_023755,dashboard,21,171,2024-09-20
user_053889,dashboard,7,23,2024-03-30
user_052390,automation,23,238,2023-10-17
user_036366,reports,9,121,2023-06-19
user_001885,dashboard,5,86,2024-07-19
user_041002,api_call,8,110,2024-09-27
user_000607,analytics,3,198,2024-03-24
user_004018,dashboard,16,180,2024-04-30
user_053783,collaboration,4,26,2024-05-28
user_015168,collaboration,5,159,2024-05-25
user_041215,api_call,5,123,2023-02-26
user_019678,dashboard,3,87,2024-10-21
user_046739,api_call,10,129,2024-08-27
user_043444,analytics,1,169,2023-03-04
user_036513,search,6,70,2024-04-10
user_055008,export,5,32,2023-12-16
user_038574,reports,6,121,2024-06-22
user_027256,api_call,26,173,2024-04-19
user_011482,reports,18,217,2024-04-22
user_038758,api_call,6,38,2023-05-03
user_001459,search,6,142,2024-04-09
user_036457,search,11,175,2024-02-27
user_030686,analytics,15,104,2024-04-27
user_055575,reports,4,145,2024-05-25
user_034044,analytics,24,181,2024-04-27
user_049518,dashboard,9,261,2024-08-13
user_025310,dashboard,10,114,2024-02-26
user_006573,analytics,10,131,2024-04-09
user_021350,dashboard,13,176,2023-04-11
user_016274,collaboration,2,138,2024-11-17
user_036312,dashboard,11,98,2024-01-18
user_056703,search,8,151,2024-03-07
user_040737,collaboration,15,144,2024-07-20
user_015911,search,6,111,2024-05-06
user_002983,analytics,8,85,2023-04-24
user_022597,analytics,2,43,2024-06-30
user_046368,search,2,115,2023-02-08
user_014807,reports,4,86,2024-09-04
user_020165,analytics,16,125,2023-05-11
user_026269,analytics,9,125,2023-12-18
user_022469,dashboard,7,214,2023-10-19
user_025227,reports,10,140,2024-10-07
user_057645,automation,10,149,2024-06-09
user_057573,api_call,14,135,2024-11-20
user_007505,analytics,20,190,2023-12-15
user_036452,analytics,10,161,2024-02-17
user_023695,reports,1,126,2024-08-21
user_047386,analytics,4,38,2024-10-13
user_055057,search,17,159,2024-09-24
user_051030,reports,10,174,2023-05-23
user_002299,analytics,4,126,2024-09-08
user_045135,dashboard,17,202,2024-01-04
user_018622,dashboard,13,248,2024-03-15
user_034512,dashboard,8,176,2024-06-04
user_004090,automation,3,134,2024-01-24
user_027255,reports,22,167,2024-08-31
user_000496,automation,6,165,2024-04-14
user_036828,dashboard,9,212,2024-09-30
user_028864,automation,30,150,2024-07-30
user_030871,automation,22,195,2023-12-24
user_046651,api_call,3,143,2023-10-31
user_020628,search,10,151,2024-08-01
user_004607,search,9,75,2024-07-12
user_004757,search,10,240,2024-08-25
user_046191,reports,4,168,2023-01-13
user_001594,dashboard,3,72,2024-09-16
user_051002,analytics,5,119,2024-07-24
user_054322,automation,11,199,2023-12-29
user_022928,export,24,104,2023-12-21
user_010322,dashboard,7,102,2023-09-22
user_026449,analytics,3,142,2023-09-11
user_013200,collaboration,5,245,2024-08-22
user_008653,export,10,147,2024-11-27
user_048982,dashboard,6,145,2024-04-29
user_051682,search,20,119,2023-09-25
user_003125,export,11,170,2024-01-03
user_044422,search,9,107,2024-01-20
user_036926,reports,22,153,2024-02-09
user_059545,search,19,234,2024-11-23
user_003145,dashboard,4,197,2024-09-19
user_044276,api_call,27,150,2023-07-17
user_015241,api_call,26,208,2023-02-21
user_057064,automation,1,96,2024-03-07
user_010314,dashboard,6,133,2024-03-25
user_010648,reports,7,43,2024-02-01
user_016087,automation,14,209,2023-12-21
user_049927,analytics,5,268,2024-09-27
user_059253,dashboard,10,62,2024-07-06
user_008614,collaboration,14,218,2023-12-19
user_031883,collaboration,9,153,2024-02-18
user_016073,dashboard,2,92,2023-02-23
user_021538,dashboard,8,62,2023-03-15
user_041180,automation,4,81,2024-10-06
user_017445,collaboration,15,179,2023-11-11
user_049929,search,22,202,2024-05-10
user_026040,dashboard,2,110,2024-03-06
user_018219,dashboard,6,104,2023-04-12
user_035529,export,15,124,2023-05-22
user_021774,collaboration,5,146,2024-06-10
user_010531,search,3,154,2023-01-21
user_050700,analytics,13,74,2023-09-06
user_049499,reports,29,158,2024-01-31
user_019285,automation,58,217,2024-01-24
user_049232,reports,14,181,2023-07-21
user_009698,dashboard,8,121,2024-03-08
user_009531,dashboard,9,168,2024-06-01
user_010306,dashboard,10,173,2024-01-11
user_043160,export,7,152,2024-05-30
user_022986,search,12,175,2024-02-21
user_039524,reports,4,203,2023-12-20
user_001908,dashboard,3,125,2023-02-23
user_007584,api_call,17,212,2024-11-14
user_006951,analytics,53,250,2023-07-24
user_008281,automation,3,97,2024-06-17
user_003418,dashboard,4,74,2024-07-23
user_034013,reports,10,160,2024-11-02
user_059291,analytics,6,136,2024-01-29
user_039377,search,49,287,2024-06-24
user_053611,search,5,129,2024-01-18
user_052408,search,12,116,2023-04-30
user_015057,export,25,256,2024-10-16
user_017105,collaboration,60,167,2023-04-08
user_019724,reports,8,108,2024-11-04
user_014407,analytics,15,123,2023-11-19
user_052830,collaboration,5,122,2024-04-12
user_057376,search,16,271,2024-03-22
user_011968,reports,8,211,2024-03-29
user_031801,collaboration,8,146,2024-11-17
user_015305,dashboard,8,140,2024-05-04
user_044601,export,17,194,2023-12-08
user_005528,export,9,147,2023-04-23
user_042031,api_call,5,138,2024-02-20
user_051348,dashboard,3,52,2024-07-12
user_008310,reports,1,10,2024-08-29
user_040762,dashboard,4,67,2023-12-15
user_055314,dashboard,4,172,2023-06-08
user_013508,export,4,146,2024-04-24
user_009341,export,5,199,2023-06-07
user_055308,automation,25,193,2024-10-09
user_037977,dashboard,20,119,2023-01-11
user_010729,reports,15,209,2024-01-11
user_028967,reports,7,177,2024-11-25
user_016988,reports,25,175,2024-07-04
user_019539,dashboard,3,138,2023-11-24
user_041537,search,2,128,2024-07-19
user_025503,dashboard,2,26,2023-05-17
user_058323,api_call,5,210,2023-10-16
user_003147,automation,7,107,2024-03-07
user_035776,collaboration,1,119,2023-10-27
user_053959,reports,6,121,2024-08-24
user_011521,collaboration,21,115,2024-11-08
user_024014,reports,23,127,2024-07-03
user_056593,collaboration,2,185,2024-04-29
user_050978,reports,26,241,2024-08-26
user_000426,collaboration,5,83,2024-09-18
user_025803,dashboard,19,184,2023-03-17
user_046190,dashboard,3,164,2024-02-22
user_043335,export,14,116,2024-07-25
user_053060,collaboration,5,198,2023-08-03
user_032932,analytics,4,138,2024-05-30
user_049020,dashboard,11,174,2024-11-07
user_020265,export,5,188,2023-03-18
user_042731,automation,4,144,2024-03-18
user_002709,automation,13,135,2024-11-02
user_050272,dashboard,15,145,2024-11-19
user_048005,api_call,82,279,2024-08-04
user_024515,dashboard,9,132,2024-05-30
user_056408,search,7,112,2023-08-23
user_009011,reports,26,231,2024-04-23
user_023168,search,8,160,2023-07-20
user_011524,search,10,144,2024-08-11
user_015415,export,12,178,2024-07-01
user_056614,export,28,210,2024-09-17
user_048403,automation,9,116,2024-03-06
user_059227,automation,8,147,2023-06-22
user_008459,reports,10,155,2024-10-17
user_010773,reports,7,193,2024-09-25
user_004629,api_call,7,106,2024-10-01
user_007316,reports,6,134,2024-01-11
user_045079,search,8,141,2023-11-12
user_057115,api_call,5,167,2024-08-30
user_009547,analytics,6,126,2024-11-04
user_023390,search,2,135,2023-04-12
user_041702,analytics,9,86,2023-08-05
user_009724,export,3,94,2024-07-24
user_053599,dashboard,12,145,2024-01-06
user_059536,dashboard,4,58,2024-06-03
user_024909,search,4,74,2023-06-22
user_053661,dashboard,19,141,2024-11-23
user_024524,dashboard,2,110,2024-09-24
user_047632,collaboration,6,39,2024-11-22
user_039055,dashboard,5,103,2024-01-11
user_049645,analytics,23,141,2024-07-08
user_043880,api_call,12,123,2023-02-24
user_028295,analytics,15,112,2023-05-30
user_049437,search,19,234,2023-12-16
user_049020,analytics,23,197,2024-06-05
user_006573,dashboard,8,131,2024-04-08
user_015458,export,24,191,2024-05-25
user_055437,dashboard,7,181,2024-02-09
user_021670,dashboard,12,72,2023-11-27
user_003940,search,19,232,2023-10-09
user_054119,search,18,193,2024-08-05
user_037618,export,8,139,2024-08-25
user_057101,export,14,170,2024-11-11
user_019285,collaboration,71,142,2024-07-06
user_043103,dashboard,2,119,2023-06-19
user_038920,export,22,52,2023-03-19
user_035763,analytics,10,196,2024-10-10
user_025700,collaboration,12,217,2024-04-11
user_022769,analytics,9,86,2024-03-22
user_040645,collaboration,11,213,2023-08-05
user_033043,dashboard,1,126,2023-10-11
user_011451,collaboration,35,265,2023-06-09
user_014242,search,17,193,2024-11-02
user_028154,export,3,85,2024-05-22
user_033750,analytics,7,172,2024-04-07
user_001267,reports,5,145,2024-03-29
user_042910,automation,3,51,2023-01-05
user_050735,analytics,14,223,2023-07-22
user_035794,export,11,160,2024-05-01
user_005776,automation,7,168,2024-10-10
user_044477,dashboard,3,97,2024-08-24
user_041500,dashboard,4,146,2023-10-28
user_059245,dashboard,12,112,2024-11-30
user_008581,collaboration,3,196,2024-09-20
user_041003,dashboard,23,85,2024-08-22
user_044276,search,18,141,2024-08-09
user_033181,export,7,117,2024-07-29
user_027419,dashboard,8,158,2023-03-09
user_022464,analytics,15,160,2023-07-03
user_033037,analytics,3,154,2024-11-08
user_014382,reports,7,164,2023-06-04
user_024343,reports,1,177,2024-01-24
user_004863,collaboration,7,88,2023-05-26
user_017429,search,10,209,2023-05-06
user_024393,automation,14,137,2023-02-04
user_000007,collaboration,22,209,2023-10-10
user_022162,analytics,6,176,2024-10-29
user_019434,dashboard,13,184,2024-02-04
user_034815,reports,24,191,2023-05-05
user_029773,dashboard,6,93,2023-07-22
user_023171,reports,4,90,2024-11-12
user_001255,collaboration,3,155,2024-05-15
user_034157,export,3,71,2023-06-09
user_032274,analytics,10,94,2024-02-11
user_004867,analytics,8,143,2024-09-23
user_011354,dashboard,14,219,2023-08-09
user_023608,search,4,113,2024-03-21
user_035004,export,3,133,2024-04-07
user_041826,automation,10,81,2024-04-28
user_030157,search,22,102,2024-07-09
user_026721,reports,15,209,2023-12-09
user_008143,automation,4,163,2023-11-08
user_020628,dashboard,12,245,2023-11-03
user_020719,analytics,10,222,2023-04-20
user_044092,reports,3,69,2024-01-07
user_049936,automation,26,280,2024-06-10
user_013416,reports,3,30,2023-01-16
user_014622,search,11,155,2024-03-12
user_006936,reports,4,205,2024-08-27
user_032690,reports,9,110,2024-02-01
user_010104,reports,7,176,2023-10-15
user_047646,dashboard,8,166,2024-09-15
user_006362,dashboard,7,88,2023-12-03
user_005805,reports,6,100,2024-06-27
user_050272,analytics,14,172,2023-03-10
user_045863,api_call,3,96,2024-08-15
user_029157,analytics,12,217,2024-08-12
user_044593,dashboard,12,241,2023-12-20
user_019429,export,1,205,2023-09-19
user_047275,search,11,245,2024-07-25
user_025822,search,6,10,2024-06-30
user_049666,reports,16,75,2024-08-06
user_051295,collaboration,10,226,2024-01-07
user_051429,export,4,165,2024-02-12
user_034319,reports,15,129,2024-11-17
user_055997,analytics,11,214,2023-04-19
user_007550,export,9,119,2024-01-30
user_011042,api_call,4,37,2024-07-14
user_002087,export,22,237,2024-11-13
user_059767,dashboard,4,121,2024-08-25
user_017380,search,27,140,2024-11-14
user_052891,search,7,80,2024-10-12
user_033199,collaboration,11,217,2023-12-08
user_018163,api_call,17,159,2024-10-15
user_014803,export,9,75,2023-09-07
user_030411,reports,15,277,2024-02-05
user_044302,dashboard,7,258,2024-11-16
user_039822,export,10,124,2024-11-14
user_004034,dashboard,4,98,2024-01-11
user_030454,collaboration,2,139,2024-06-07
user_054358,search,7,83,2023-05-02
user_053659,automation,9,115,2024-09-09
user_041558,dashboard,18,136,2024-04-08
user_043056,automation,7,103,2023-12-21
user_036654,dashboard,9,157,2023-10-27
user_000776,export,19,115,2024-11-17
user_003912,dashboard,8,184,2023-11-30
user_056526,analytics,13,157,2024-01-07
user_055984,export,5,122,2024-09-18
user_057191,dashboard,26,245,2023-10-29
user_002451,dashboard,4,154,2024-01-12
user_042688,search,13,50,2023-03-22
user_003317,collaboration,11,210,2024-07-12
user_030657,automation,14,130,2023-06-25
user_038235,analytics,11,69,2024-11-08
user_020165,dashboard,14,104,2023-08-09
user_018012,export,4,96,2023-09-26
user_039055,export,20,58,2024-01-27
user_059212,dashboard,18,162,2024-01-09
user_031156,analytics,4,37,2024-03-18
user_031124,automation,8,256,2024-09-13
user_042860,analytics,4,85,2023-10-22
user_000244,automation,7,197,2023-12-14
user_010853,dashboard,14,70,2024-07-04
user_025253,dashboard,3,97,2024-03-04
user_043925,dashboard,9,199,2023-12-27
user_021069,analytics,18,244,2023-07-22
user_006729,search,16,192,2024-03-23
user_053138,analytics,5,139,2024-04-03
user_005893,analytics,12,185,2023-12-17
user_026028,search,6,66,2023-04-22
user_013266,reports,28,253,2023-04-01
user_020043,dashboard,7,171,2024-11-09
user_009806,export,5,98,2024-11-06
user_003569,export,11,152,2024-06-06
user_040518,collaboration,3,95,2024-08-07
user_019155,analytics,5,130,2023-01-02
user_043718,reports,16,120,2023-08-25
user_019620,search,13,125,2023-10-20
user_044995,automation,13,182,2023-08-25
user_028430,api_call,7,249,2024-11-21
user_039639,collaboration,8,149,2023-03-27
user_013550,search,4,184,2024-08-06
user_047122,api_call,38,192,2024-03-03
user_022591,dashboard,20,234,2023-12-13
user_004459,search,6,179,2024-07-08
user_032089,export,8,167,2023-12-19
user_005182,dashboard,8,241,2023-05-14
user_010968,export,15,240,2023-12-01
user_033360,automation,64,229,2023-11-16
user_011444,collaboration,15,234,2023-08-08
user_050044,analytics,6,61,2023-02-01
user_051150,reports,4,110,2024-06-29
user_015757,reports,5,79,2024-10-01
user_005540,dashboard,13,148,2024-10-31
user_007985,reports,8,207,2024-10-17
user_048861,search,7,158,2024-09-26
user_015461,dashboard,2,143,2023-07-26
user_006851,search,18,167,2024-08-30
user_035247,export,44,230,2024-09-26
user_008683,api_call,15,128,2024-06-03
user_045069,collaboration,7,177,2024-10-04
user_025974,export,9,68,2024-07-12
user_023578,automation,5,174,2023-12-26
user_035446,reports,5,197,2023-09-09
user_044030,analytics,16,125,2023-04-17
user_018323,dashboard,6,20,2023-03-13
user_021311,automation,3,55,2024-08-04
user_043839,search,25,97,2024-07-28
user_058647,search,2,36,2024-03-16
user_030549,reports,1,127,2024-01-07
user_039395,dashboard,1,77,2024-01-28
user_040724,collaboration,7,204,2023-10-08
user_059926,search,13,106,2024-08-07
user_054563,export,4,220,2024-10-05
user_026917,search,23,131,2024-02-23
user_056875,dashboard,9,143,2023-11-10
user_027061,dashboard,2,204,2023-04-29
user_040159,search,8,206,2023-05-28
user_024238,reports,8,149,2023-07-26
user_003378,reports,15,126,2024-11-01
user_008408,analytics,5,161,2024-01-15
user_031437,export,14,222,2024-06-28
user_039979,export,13,121,2023-07-26
user_018090,dashboard,37,215,2024-10-30
user_010066,dashboard,7,105,2023-01-07
user_037135,search,2,137,2024-04-28
user_058309,automation,10,133,2024-11-15
user_010689,search,7,259,2024-11-07
user_053299,collaboration,6,89,2024-10-09
user_018835,analytics,13,154,2024-08-28
user_037547,automation,9,140,2024-07-06
user_039000,search,4,184,2024-01-21
user_037996,search,5,110,2024-04-22
user_037631,export,9,159,2024-05-07
user_015278,dashboard,3,186,2024-08-12
user_047165,dashboard,4,115,2024-02-23
user_028447,analytics,8,108,2024-09-02
user_058183,dashboard,10,206,2024-06-13
user_042335,reports,15,184,2024-02-09
user_053550,analytics,8,196,2024-04-19
user_058145,collaboration,11,110,2023-08-22
user_030861,api_call,6,168,2024-07-22
user_056954,analytics,5,54,2023-12-09
user_014313,dashboard,2,40,2024-05-25
user_034228,automation,6,190,2024-09-28
user_003682,search,8,148,2024-08-23
user_009014,automation,6,69,2023-02-13
user_058991,search,6,140,2023-12-21
user_049666,search,14,214,2024-09-09
user_030433,automation,29,131,2023-05-15
