feature_id,feature_name,tier,release_date,owner_team
feat_064,reports_13,enterprise,2022-08-19,security
feat_065,batch_jobs_14,pro,2022-04-28,analytics
feat_066,audit_15,starter,2022-09-27,core
feat_067,roles_16,pro,2022-01-04,analytics
feat_068,audit_17,pro,2020-12-16,core
feat_069,roles_18,enterprise,2021-03-11,core
feat_070,dashboard_19,pro,2020-12-17,platform
feat_071,api_call_20,starter,2022-06-19,growth
feat_072,webhooks_21,pro,2022-08-11,analytics
feat_073,analytics_22,pro,2021-09-15,growth
feat_074,export_23,pro,2021-06-17,core
feat_075,dashboard_24,enterprise,2021-06-27,core
feat_076,export_25,starter,2022-07-15,analytics
feat_077,mobile_app_26,pro,2022-05-28,analytics
feat_078,dashboard_27,starter,2021-12-09,core
feat_079,billing_28,pro,2021-09-23,platform
feat_080,audit_29,enterprise,2020-12-14,security
feat_081,roles_30,enterprise,2021-08-21,growth
feat_082,reports_31,pro,2022-05-24,core
feat_083,batch_jobs_32,enterprise,2021-06-25,core
feat_084,reports_v2_33,pro,2022-11-04,core
feat_085,batch_jobs_34,pro,2021-08-05,security
feat_086,analytics_35,starter,2021-07-30,core
feat_087,analytics_36,starter,2021-05-02,core
feat_088,roles_37,starter,2021-11-14,core
feat_089,batch_jobs_38,starter,2021-05-19,security
feat_090,dashboard_39,enterprise,2022-10-10,analytics
feat_091,roles_40,enterprise,2021-06-02,security
feat_092,templates_41,pro,2022-06-06,platform
feat_093,automation_42,pro,2021-11-22,growth
feat_094,roles_43,enterprise,2022-02-28,analytics
feat_095,templates_44,starter,2022-12-23,analytics
feat_096,realtime_45,enterprise,2022-09-21,core
feat_097,webhooks_46,starter,2021-08-01,platform
feat_098,collaboration_47,pro,2022-10-23,growth
feat_099,storage_48,pro,2022-07-24,analytics
feat_100,webhooks_49,enterprise,2022-02-26,security
feat_101,security_0,enterprise,2022-12-24,security
feat_102,sso_1,enterprise,2022-09-17,growth
feat_103,notifications_2,starter,2022-09-14,security
feat_104,collaboration_3,pro,2022-03-19,security
feat_105,reports_4,enterprise,2022-01-15,growth
feat_106,roles_5,enterprise,2022-04-06,security
feat_107,mobile_app_6,pro,2022-11-10,core
feat_108,security_7,pro,2022-03-24,core
feat_109,search_8,pro,2020-11-03,growth
feat_110,security_9,pro,2022-07-20,analytics
feat_111,webhooks_10,enterprise,2021-10-21,security
feat_112,search_11,starter,2022-10-16,growth
feat_113,webhooks_12,starter,2021-12-19,security
feat_114,webhooks_13,starter,2021-10-18,growth
feat_115,dashboard_14,pro,2021-12-24,core
feat_116,storage_15,starter,2021-02-02,growth
feat_117,roles_16,starter,2022-01-04,security
feat_118,audit_17,enterprise,2020-11-25,growth
feat_119,automation_18,starter,2022-07-04,analytics
feat_120,search_19,starter,2020-12-08,platform
feat_121,audit_20,enterprise,2020-12-10,growth
feat_122,notifications_21,starter,2021-01-13,core
feat_123,billing_22,starter,2021-09-07,growth
feat_124,reports_23,pro,2022-01-08,platform
feat_125,automation_24,starter,2022-12-08,growth
feat_126,billing_25,pro,2022-03-22,core
feat_127,notifications_26,pro,2021-03-16,security
feat_128,billing_27,enterprise,2021-07-01,platform
feat_129,search_28,starter,2022-04-09,growth
feat_130,batch_jobs_29,pro,2022-11-23,core
feat_131,realtime_30,pro,2022-01-13,platform
feat_132,audit_31,enterprise,2021-07-27,core
feat_133,billing_32,enterprise,2022-06-21,platform
feat_134,dashboard_33,enterprise,2021-10-12,core
feat_135,api_rate_limit_34,enterprise,2021-01-28,growth
feat_136,storage_35,pro,2022-10-22,platform
feat_137,realtime_36,pro,2021-02-21,core
feat_138,reports_v2_37,pro,2021-07-31,platform
feat_139,roles_38,pro,2022-02-01,analytics
feat_140,permissions_39,pro,2021-06-13,growth
feat_141,reports_40,pro,2021-02-20,analytics
feat_142,roles_41,enterprise,2022-07-07,security
feat_143,batch_jobs_42,pro,2021-11-12,security
feat_144,search_43,pro,2022-03-14,growth
feat_145,audit_44,enterprise,2021-04-20,platform
feat_146,integration_45,pro,2021-10-06,growth
feat_147,api_rate_limit_46,pro,2020-12-09,growth
feat_148,roles_47,starter,2022-03-17,security
feat_149,roles_48,enterprise,2021-04-07,platform
feat_150,export_49,starter,2021-02-12,platform
feat_151,automation_0,starter,2022-08-04,core
feat_152,dashboard_1,starter,2021-09-02,security
feat_153,export_2,pro,2021-11-03,security
feat_154,reports_3,enterprise,2021-01-18,analytics
feat_155,mobile_app_4,pro,2022-04-27,growth
feat_156,security_5,enterprise,2022-12-27,core
feat_157,audit_6,starter,2022-07-05,security
feat_158,integration_7,starter,2021-06-10,growth
feat_159,api_call_8,pro,2022-08-18,analytics
feat_160,roles_9,enterprise,2021-06-08,security
feat_161,templates_10,pro,2021-04-14,security
feat_162,audit_11,enterprise,2021-10-02,growth
feat_163,reports_v2_12,pro,2021-09-28,platform
feat_164,automation_13,enterprise,2022-03-24,security
feat_165,mobile_app_14,enterprise,2022-05-02,platform
feat_166,integration_15,starter,2021-01-01,platform
feat_167,automation_16,pro,2022-01-23,platform
feat_168,webhooks_17,starter,2022-08-13,growth
feat_169,automation_18,pro,2021-01-21,growth
feat_170,permissions_19,starter,2022-10-28,analytics
feat_171,audit_20,pro,2021-06-25,analytics
feat_172,audit_21,starter,2022-06-04,analytics
feat_173,billing_22,enterprise,2021-01-19,core
feat_174,batch_jobs_23,pro,2021-08-31,core
feat_175,storage_24,pro,2020-11-21,analytics
feat_176,audit_25,enterprise,2020-11-27,security
feat_177,realtime_26,starter,2021-08-20,growth
feat_178,notifications_27,pro,2021-08-22,core
feat_179,billing_28,pro,2021-02-16,analytics
feat_180,reports_v2_29,starter,2021-09-10,growth
feat_181,realtime_30,enterprise,2022-12-05,analytics
feat_182,batch_jobs_31,enterprise,2021-02-22,core
feat_183,export_32,enterprise,2021-10-20,growth
feat_184,integration_33,starter,2022-11-11,platform
feat_185,billing_34,pro,2022-05-30,analytics
feat_186,templates_35,pro,2020-11-13,analytics
feat_187,notifications_36,pro,2022-04-18,core
feat_188,mobile_app_37,starter,2020-11-25,security
feat_189,dashboard_38,pro,2022-05-17,core
feat_190,security_39,starter,2020-11-20,core
feat_191,automation_40,starter,2022-12-12,security
feat_192,collaboration_41,starter,2022-08-25,analytics
feat_193,roles_42,starter,2021-06-03,growth
feat_194,integration_43,enterprise,2022-04-14,platform
feat_195,analytics_44,enterprise,2021-04-20,core
feat_196,analytics_45,pro,2022-09-13,security
feat_197,search_46,pro,2021-05-22,analytics
feat_198,billing_47,enterprise,2022-06-12,core
feat_199,batch_jobs_48,enterprise,2021-03-30,growth
feat_200,api_call_49,enterprise,2020-11-01,platform
feat_201,roles_0,enterprise,2022-08-31,security
feat_202,dashboard_1,pro,2021-07-05,analytics
feat_203,roles_2,pro,2022-10-23,security
feat_204,security_3,pro,2022-12-20,analytics
feat_205,mobile_app_4,starter,2021-10-15,platform
feat_206,security_5,pro,2021-01-07,growth
feat_207,audit_6,starter,2020-12-11,security
feat_208,security_7,pro,2021-04-11,security
feat_209,mobile_app_8,pro,2021-10-12,security
feat_210,notifications_9,pro,2022-04-25,core
feat_211,notifications_10,pro,2022-04-27,analytics
feat_212,batch_jobs_11,enterprise,2021-02-16,analytics
feat_213,templates_12,starter,2021-08-13,platform
feat_214,analytics_13,pro,2022-05-29,platform
feat_215,notifications_14,pro,2022-03-21,security
feat_216,permissions_15,pro,2021-06-11,core
feat_217,api_rate_limit_16,starter,2022-10-06,growth
feat_218,reports_v2_17,pro,2021-08-19,security
feat_219,automation_18,enterprise,2021-09-01,analytics
feat_220,integration_19,starter,2022-09-28,platform
feat_221,automation_20,pro,2021-01-23,growth
feat_222,sso_21,enterprise,2021-05-16,platform
feat_223,mobile_app_22,enterprise,2021-07-07,platform
feat_224,audit_23,enterprise,2021-06-17,platform
feat_225,storage_24,enterprise,2021-09-24,platform
feat_226,sso_25,pro,2022-05-10,core
feat_227,reports_v2_26,starter,2022-02-12,core
feat_228,reports_v2_27,enterprise,2020-11-12,growth
feat_229,reports_28,starter,2020-12-06,analytics
feat_230,notifications_29,enterprise,2021-05-08,security
feat_231,realtime_30,pro,2022-09-21,growth
feat_232,sso_31,starter,2021-12-28,growth
feat_233,sso_32,starter,2021-01-06,security
feat_234,collaboration_33,pro,2022-11-16,core
feat_235,webhooks_34,pro,2021-01-17,growth
feat_236,security_35,pro,2022-09-18,core
feat_237,batch_jobs_36,pro,2021-09-08,analytics
feat_238,integration_37,pro,2022-06-27,core
feat_239,notifications_38,pro,2022-09-07,core
feat_240,billing_39,pro,2022-10-18,security
feat_241,security_40,enterprise,2022-11-08,growth
feat_242,collaboration_41,enterprise,2022-02-24,core
feat_243,automation_42,starter,2021-06-09,analytics
feat_244,realtime_43,enterprise,2021-04-08,growth
feat_245,api_rate_limit_44,pro,2021-09-27,analytics
feat_246,sso_45,enterprise,2021-10-19,platform
feat_247,batch_jobs_46,enterprise,2022-11-01,security
feat_248,reports_v2_47,starter,2020-11-11,growth
feat_249,security_48,starter,2022-04-06,core
feat_250,analytics_49,starter,2022-07-08,security
feat_251,export_0,starter,2022-12-30,analytics
feat_252,integration_1,enterprise,2021-05-03,analytics
feat_253,sso_2,starter,2022-05-09,platform
feat_254,permissions_3,pro,2021-01-12,analytics
feat_255,export_4,enterprise,2022-05-07,platform
feat_256,security_5,enterprise,2021-02-23,growth
feat_257,audit_6,starter,2021-06-23,growth
feat_258,security_7,starter,2022-04-04,growth
feat_259,export_8,starter,2022-07-16,platform
feat_260,realtime_9,enterprise,2021-05-29,platform
feat_261,integration_10,starter,2021-09-09,platform
feat_262,permissions_11,pro,2022-03-29,security
feat_263,webhooks_12,pro,2021-10-10,core
feat_264,realtime_13,starter,2021-10-16,platform
feat_265,realtime_14,pro,2022-12-06,core
feat_266,automation_15,enterprise,2021-05-22,security
feat_267,search_16,enterprise,2022-04-01,security
feat_268,dashboard_17,starter,2021-09-07,security
feat_269,security_18,pro,2022-03-23,growth
feat_270,batch_jobs_19,pro,2021-03-22,analytics
feat_271,export_20,pro,2022-01-10,analytics
feat_272,templates_21,pro,2021-02-14,core
feat_273,analytics_22,pro,2021-11-06,analytics
feat_274,sso_23,enterprise,2021-11-17,security
feat_275,dashboard_24,pro,2022-10-03,platform
feat_276,notifications_25,pro,2022-09-05,analytics
feat_277,api_rate_limit_26,starter,2021-02-27,security
feat_278,integration_27,pro,2022-11-07,growth
feat_279,api_rate_limit_28,pro,2021-04-04,analytics
feat_280,security_29,pro,2020-11-14,core
feat_281,reports_30,pro,2021-06-18,growth
feat_282,sso_31,pro,2021-01-16,analytics
feat_283,api_call_32,starter,2021-03-27,security
feat_284,automation_33,enterprise,2022-07-23,platform
feat_285,webhooks_34,starter,2021-06-15,analytics
feat_286,export_35,starter,2022-09-07,analytics
feat_287,api_call_36,enterprise,2022-07-28,analytics
feat_288,permissions_37,pro,2021-07-29,platform
feat_289,audit_38,pro,2021-09-05,growth
feat_290,integration_39,enterprise,2022-08-06,analytics
feat_291,reports_40,enterprise,2021-07-30,growth
feat_292,export_41,pro,2020-11-01,analytics
feat_293,templates_42,enterprise,2022-04-03,core
feat_294,sso_43,enterprise,2022-03-02,security
feat_295,batch_jobs_44,enterprise,2021-08-18,growth
feat_296,integration_45,enterprise,2021-08-24,platform
feat_297,templates_46,enterprise,2020-11-11,security
feat_298,billing_47,pro,2022-02-06,growth
feat_299,permissions_48,starter,2021-05-26,analytics
feat_300,automation_49,pro,2022-11-18,platform
